dataset,measurement,leaky,n_nodes,n_edges,coverage,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center
tiny_human_kidney_protein_v4,seq_jaccard,False,358,1106,1.0,68.5774789109242,57.32292233560531,126.22764286289446,77.69307306371627,0.7378125240147813
tiny_human_kidney_protein_v4,expression,False,358,1207,1.0,70.82060288218119,57.84643257175131,127.9653159623414,77.69307306371627,0.7445507081990606
tiny_human_kidney_protein_v4,expr_morph,False,358,1192,1.0,70.05805108599282,59.31406620837991,131.3650159362707,77.69307306371627,0.7634408560430646
tiny_human_kidney_protein_v4,mix_nonspatial,False,358,1192,1.0,70.05805108599282,59.31406620837991,131.3650159362707,77.69307306371627,0.7634408560430646
tiny_human_kidney_protein_v4,morph_heavy,False,358,1166,1.0,72.18428289077353,59.60549543029018,137.12662464283832,77.69307306371627,0.7671918882833683
tiny_human_kidney_protein_v4,seq_blast,False,358,1353,1.0,78.68148133761795,64.82096824191919,149.15907715538103,77.69307306371627,0.8343210750430654
tiny_human_kidney_protein_v4,seq_local,False,358,1364,1.0,79.6983376519109,66.03767456525429,150.3375886460183,77.69307306371627,0.8499814972062779
tiny_human_kidney_protein_v4,morphology,False,358,895,1.0,90.29527860501749,76.84674692941527,160.0125011249823,77.69307306371627,0.9891068006332184
tiny_human_kidney_protein_v4,spatial,True,358,854,1.0,6.282245192996691,2.7222294604294537,7.662491649490485,77.69307306371627,0.035038251842567
tiny_human_kidney_protein_v4,expr_morph_spatial,True,358,1176,1.0,49.378010115770905,40.27384899879407,87.89329289816028,77.69307306371627,0.5183711676041619
tiny_human_kidney_protein_v4,mix,True,358,1176,1.0,49.378010115770905,40.27384899879407,87.89329289816028,77.69307306371627,0.5183711676041619
tiny_human_ovary_multimodal_v4,expr_morph,False,623,2080,1.0,221.24802350741768,210.06366785442657,393.7018206976912,297.96621268034534,0.7049915692279527
tiny_human_ovary_multimodal_v4,mix_nonspatial,False,623,2080,1.0,221.24802350741768,210.06366785442657,393.7018206976912,297.96621268034534,0.7049915692279527
tiny_human_ovary_multimodal_v4,morph_heavy,False,623,2028,1.0,222.2835274104704,210.63022077028515,388.26001151770174,297.96621268034534,0.7068929690905821
tiny_human_ovary_multimodal_v4,seq_jaccard,False,623,2216,1.0,228.56924970660117,213.99394058016057,420.3845665211404,297.96621268034534,0.7181818994012277
tiny_human_ovary_multimodal_v4,expression,False,623,2119,1.0,227.4686971566751,216.86058669985377,399.1812994827791,297.96621268034534,0.7278026080510654
tiny_human_ovary_multimodal_v4,seq_blast,False,623,1834,1.0,261.97811290411016,260.4040787865186,445.3102323503384,297.96621268034534,0.8739382779143388
tiny_human_ovary_multimodal_v4,seq_local,False,623,1881,1.0,263.8973701356224,267.03426349724344,445.4592505631839,297.96621268034534,0.8961897427736704
tiny_human_ovary_multimodal_v4,morphology,False,623,1537,1.0,300.689621699134,300.1508320482786,468.6423982932968,297.96621268034534,1.0073317687541872
tiny_human_ovary_multimodal_v4,spatial,True,623,1461,1.0,3.360747314411746,2.526562652082865,6.924728619085775,297.96621268034534,0.0084793595534045
tiny_human_ovary_multimodal_v4,expr_morph_spatial,True,623,2047,1.0,104.47321876508038,76.32868962560936,230.18829368772475,297.96621268034534,0.2561655864904854
tiny_human_ovary_multimodal_v4,mix,True,623,2047,1.0,104.47321876508038,76.32868962560936,230.18829368772475,297.96621268034534,0.2561655864904854
tiny_human_ovary_nucexp_v4,morph_heavy,False,632,2050,1.0,216.71243057574048,199.55360819364813,389.6734025894139,299.38971014536287,0.6665346250435886
tiny_human_ovary_nucexp_v4,expression,False,632,2148,1.0,211.53037641449265,199.9930644689788,368.2853479352664,299.38971014536287,0.6680024653214569
tiny_human_ovary_nucexp_v4,expr_morph,False,632,2125,1.0,213.0791794396033,207.6127694739747,383.2666409191428,299.38971014536287,0.6934532565370144
tiny_human_ovary_nucexp_v4,mix_nonspatial,False,632,2125,1.0,213.0791794396033,207.6127694739747,383.2666409191428,299.38971014536287,0.6934532565370144
tiny_human_ovary_nucexp_v4,seq_jaccard,False,632,2270,1.0,229.36226710154625,212.26280970411517,436.8721164690359,299.38971014536287,0.7089849868288896
tiny_human_ovary_nucexp_v4,seq_blast,False,632,1828,1.0,255.72126141929215,249.280273449277,449.1974952336873,299.38971014536287,0.8326280596893052
tiny_human_ovary_nucexp_v4,seq_local,False,632,1893,1.0,263.2980388740476,258.7952776285901,489.4299984796905,299.38971014536287,0.8644093930380475
tiny_human_ovary_nucexp_v4,morphology,False,632,1555,1.0,301.8463833617328,301.76530104547334,478.7090358526325,299.38971014536287,1.0079347780488417
tiny_human_ovary_nucexp_v4,spatial,True,632,1478,1.0,3.4011152954886303,2.608039188927158,6.767717237167,299.38971014536287,0.0087111851227648
tiny_human_ovary_nucexp_v4,expr_morph_spatial,True,632,2108,1.0,104.11191567673951,79.04277693128299,215.80370006081208,299.38971014536287,0.2640130046316732
tiny_human_ovary_nucexp_v4,mix,True,632,2108,1.0,104.11191567673951,79.04277693128299,215.80370006081208,299.38971014536287,0.2640130046316732
tiny_mouse_ileum_multimodal_v3,expression,False,36,102,1.0,40.71639776976006,16.016013416279414,55.40607511159839,237.16876109559072,0.0675300294283873
tiny_mouse_ileum_multimodal_v3,seq_jaccard,False,36,101,1.0,40.99632162377881,16.597315017940154,55.40607511159839,237.16876109559072,0.0699810335107776
tiny_mouse_ileum_multimodal_v3,expr_morph,False,36,98,1.0,41.305361176246,18.393841228806053,83.86845901888603,237.16876109559072,0.0775559190166382
tiny_mouse_ileum_multimodal_v3,mix_nonspatial,False,36,98,1.0,41.305361176246,18.393841228806053,83.86845901888603,237.16876109559072,0.0775559190166382
tiny_mouse_ileum_multimodal_v3,seq_blast,False,36,111,1.0,89.97185897674134,30.80796634968772,261.8149845580507,237.16876109559072,0.1298989217946397
tiny_mouse_ileum_multimodal_v3,seq_local,False,36,125,1.0,103.93101552292654,31.331642576251163,271.76629758329966,237.16876109559072,0.1321069538480363
tiny_mouse_ileum_multimodal_v3,morph_heavy,False,36,101,1.0,78.45767377884582,40.6985170550886,178.3423918928034,237.16876109559072,0.1716015080025024
tiny_mouse_ileum_multimodal_v3,morphology,False,36,95,1.0,151.24945757244367,134.05277061134433,340.69294280223613,237.16876109559072,0.5652210265470605
tiny_mouse_ileum_multimodal_v3,spatial,True,36,85,1.0,8.267261213186758,7.5041666642518035,14.417344511950017,237.16876109559072,0.0316406200782372
tiny_mouse_ileum_multimodal_v3,expr_morph_spatial,True,36,100,1.0,26.098700864912136,12.296992035690815,85.0941098355972,237.16876109559072,0.0518491220297538
tiny_mouse_ileum_multimodal_v3,mix,True,36,100,1.0,26.098700864912136,12.296992035690815,85.0941098355972,237.16876109559072,0.0518491220297538
tiny_mouse_ileum_nucexp_v3,seq_blast,False,23,66,1.0,112.43384462780712,18.77350468531817,278.3227108938238,251.2117264804686,0.0747318007337439
tiny_mouse_ileum_nucexp_v3,seq_jaccard,False,23,63,1.0,71.81700981877032,18.77350468531817,127.25838000157404,251.2117264804686,0.0747318007337439
tiny_mouse_ileum_nucexp_v3,expression,False,23,61,1.0,72.72999075958576,19.46987221669948,195.09039767018103,251.2117264804686,0.0775038350696309
tiny_mouse_ileum_nucexp_v3,expr_morph,False,23,61,1.0,125.05717888727015,102.82401258429718,246.97755490750055,251.2117264804686,0.4093121528396948
tiny_mouse_ileum_nucexp_v3,mix_nonspatial,False,23,61,1.0,125.05717888727015,102.82401258429718,246.97755490750055,251.2117264804686,0.4093121528396948
tiny_mouse_ileum_nucexp_v3,morph_heavy,False,23,62,1.0,224.4680798663517,222.95845537474892,367.53335534468187,251.2117264804686,0.8875320372119798
tiny_mouse_ileum_nucexp_v3,seq_local,False,23,82,1.0,215.7590354685983,230.1580375101683,502.9621497799265,251.2117264804686,0.9161914562458244
tiny_mouse_ileum_nucexp_v3,morphology,False,23,60,1.0,273.7266191399237,251.62721235820663,408.44232564282754,251.2117264804686,1.0016539270819842
tiny_mouse_ileum_nucexp_v3,spatial,True,23,56,1.0,36.83918249194473,9.566375376105398,87.96895982434567,251.2117264804686,0.0380809268346363
tiny_mouse_ileum_nucexp_v3,expr_morph_spatial,True,23,61,1.0,33.39893487535941,13.282515315696267,75.5377613610629,251.2117264804686,0.052873786991504
tiny_mouse_ileum_nucexp_v3,mix,True,23,61,1.0,33.39893487535941,13.282515315696267,75.5377613610629,251.2117264804686,0.052873786991504
